created_at,text
2018-11-10 18:49:44,"I was stunned by the #MidtermElection2018 

I expected HUGE Red Wave

didn’t understand 

But it’s looking like mid… https://t.co/bhfVgsaoOG"
2018-11-10 18:47:55,Watching the voting debacle unfold in America &amp; reminding myself how awesome it is to live in a country where I can… https://t.co/KczLsGK5kP
2018-11-10 18:39:06,"@CeeCee22063524 Didn't Q promise this would all happen a year ago?
How long will it take before you realize it is f… https://t.co/RL3Lka5Nbh"
2018-11-10 18:38:22,@MAGAPOTUS2018 I pray Trump  resigns and/or is incarcerated before he causes anymore irreparable harm to the US and… https://t.co/8EAhUtU4rf
2018-11-10 16:56:12,"'The purpose of the government is to' ""protect the minority of the  opulent from the majority"" --James Madison, maj… https://t.co/Sr8aeSmcSO"
2018-11-10 16:39:27,@washingtonpost Of course “concession” speeches or comments are not binding. It is only the vote if the people.#MidtermElection2018
2018-11-10 16:11:48,Political unity has to be intentional. #Midterms2018 #MidtermElection2018
2018-11-10 15:13:43,"In light of everything going on in GA and FL, I am proud of @dougducey, @JeffFlake, and AZ for ensuring all absente… https://t.co/T2bsdUNkM7"
2018-11-10 15:03:18,"@uniVEErse @kindergeek When I think Trump can’t disgust me anymore, he pulls another rabbit out of his hat!… https://t.co/T7C3h6SwyC"
2018-11-10 15:00:04,@TheDemocrats Historically the opposite party wins #MidtermElections. Don't hurt your arm patting yourself on the b… https://t.co/6U9ehLNsil
2018-11-10 14:35:45,"""As for my people, children are their oppressors, and women rule over them. O my people, they which lead thee cause… https://t.co/PaDSF3wvy0"
2018-11-10 12:14:03,"#MidtermElection2018 proved to be a nice catalyst for a market rally...not that any particular party won or lost, j… https://t.co/qH8FP6QRNZ"
2018-11-10 11:45:58,Everyone can call to see if their vote was counted. Call your local office for the website to check your status. It… https://t.co/neiZ3JYytH
2018-11-10 11:32:35,@MensRoomLive What’s up with #Florida?  I bet it was coming back from casting its #vote for #MidtermElection2018 Ca… https://t.co/Xzu2NGo3sA
2018-11-10 11:08:54,"All the surveys &amp; opinions  are one side,  janata ka mood on the day of polling is on the other side. Let see what… https://t.co/YNEJjctkmC"
2018-11-10 10:08:01,"@NathanLerner @America22744047 So true,Dr @NathanLerner ! I live in Italy but (as Progressive voter) i hope this… https://t.co/Ek1DXE2Pgm"
2018-11-10 06:48:24,@varin Example of why it is important to have a credible INDEPENDENT well funded electoral commision (like Australi… https://t.co/u9APVUDWys
2018-11-10 06:35:35,@StephenAtHome #Florida has been ever since days of #JebBush #ElectionDay #ElectionResults2018 #Midterms2018… https://t.co/e4cg7Zfdm2
2018-11-10 05:56:52,"@foxandfriends mentioned “caravan” #MigrantCaravan 21 times per episode ahead of #Midterm2018, ONE time after #MidtermElection2018."
2018-11-10 05:10:41,"Demobrats in Florida and Georgia refuse to face the reality that they lost.
#GOP #Midterms2018 #MidtermElection2018"
2018-11-10 04:53:23,@SarahMargulis2 @nytimes The last time Dems flipped this many house seats was 1976. I think that’s a tad longer tha… https://t.co/weJIdwXYZ4
2018-11-10 04:50:17,@chrislcart @SarahMargulis2 @nytimes But not by those margins. #MidtermElection2018
2018-11-10 04:49:02,@AnirudhaPSingh @nytimes I understand Dems are borrowing Independent’s right now and we appreciate your support but… https://t.co/WDfyV8QkKv
2018-11-10 04:37:08,Certify the election in #FLORIDA now! #MidtermElection2018
2018-11-10 04:23:13,"#MidtermElection2018 
Every Rep that lost-Demand a recount, get lawyers, have every ballot examined b/c if the Dems… https://t.co/oL86IpMN3T"
2018-11-10 04:17:31,I'm almost ashamed at the level of schadenfreude I feel watching rich white dudes freak-out over not automatically… https://t.co/QnYPMpFYLi
2018-11-10 04:07:11,Democrats are criminals! If they cannot win the vote they will try to steal it with the help of their henchmen in t… https://t.co/PuGED47Del
2018-11-10 03:40:05,@realDonaldTrump Thinking you may be reporting to #Putin over this long weekend. He is not happy with you.… https://t.co/YYrfTvxFSK
2018-11-10 02:58:12,With all that has happened in #California the last 48 hours —#BorderLineShooting #CampFire #HillFire #Woolseyfire -… https://t.co/friXy4R48y
2018-11-10 01:37:12,#browardcounty you need a wall built around you and all of you dumb AF liberals need to be jailed and fend for your… https://t.co/r76iKfxAT9
2018-11-10 01:15:11,@1776Stonewall I was thinking this same exact thing? I truly do not believe they really won the majority in the hou… https://t.co/iHnA5AcAZf
2018-11-10 01:01:08,In the #MidtermElection2018 Democrats overcame a formidable 23-seat deficit in the #House to make a net gain of 34… https://t.co/rdOeV4ObrK
2018-11-10 00:44:09,That’s it Florida. The grown up states have decided you’re grounded. No more playing with the important toys until… https://t.co/lq0kgjGrvf
2018-11-10 00:11:12,"As one who cares about the environment, I’m saddened to think that in 100 years, Florida will be underwater…

As a… https://t.co/nib8VOQYyT"
2018-11-09 21:53:14,"ok, take your goddamn lawn signs down already #ElectionNight #ElectionDay #ElectionResults2018 #MidtermElection2018"
2018-11-09 21:47:56,someone please arrest @PamKeithFL for #VoterFraud #MidtermElection2018 unbelievable!!
2018-11-09 21:47:47,".@ultra_Lauren Great to meet you yesterday at #MidtermElection2018 Tech Rewind And Fast-Forward, Deciphering Change… https://t.co/nMku31MzTv"
2018-11-09 21:02:14,Florida and your election bullshit...#MidtermElection2018 #midterm #2018Midterms
2018-11-09 20:52:27,Respondent XX here: Post the 2018 Midterm Election women have also been making strides state wide. Nevada will be f… https://t.co/6qFBjFwAKQ
2018-11-09 20:49:30,Morosely ironic that states won by #GOP in #MidtermElection2018 voted #Democrat in the #urban while the #rural vote… https://t.co/wnvOgWYOtB
2018-11-09 20:38:30,Count every vote 🗳 #FacingRace2018 #MidtermElection2018
2018-11-09 20:18:32,Why is the count in Florida always such a mess? #MidtermElection2018 #Midterms2018 #FloridaRecount2018
2018-11-09 19:54:29,"If a dead pimp beats you in an election, politics is not your calling. #MidtermElection2018"
2018-11-09 19:24:41,For those of you wondering why #Socialist have gotten so many votes during the #MidtermElection2018.  Look no furth… https://t.co/NHt7Jmy6X9
2018-11-09 19:22:40,@nprpolitics They just continue to lie.  Republicans have become the party of liars and continue to try to ruin@our… https://t.co/CNspzvsAKW
2018-11-09 19:17:58,@realDonaldTrump Typical Democrats: they believe the counting should never stop...until they end up ahead.… https://t.co/WXKWXdKy4c
2018-11-09 19:15:40,@FordOConnell @billpostmus How is this the same #BrowardCounty supervisor that has had so many major problems in th… https://t.co/IeMo62cvE8
2018-11-09 19:09:39,"@DNC , when you start stealing elections.....that WILL start a civil war. #MidtermElection2018 #FloridaVoterFraud #VoterFraud2018"
2018-11-09 18:52:42,Votes that are not in by a deadline should be precluded from the process by virtue of the rules of a VALID process… https://t.co/QSbiFaZjd6
2018-11-09 18:23:07,Please repent. It’s so good for you and everyone around you. It’s so powerful. Everything else #FloridaRecount2018… https://t.co/EaKWUmJgit
2018-11-09 18:22:36,@realDonaldTrump You are actually right about something. Our entire voting system is antiquated and embarrassing. I… https://t.co/3eYopqSFwr
2018-11-09 18:22:22,"I'd Like to Translate #RickScott statements on the #FloridaRecount2018 ""I will not stand idly by while i watch all… https://t.co/QLB85a4miO"
2018-11-09 18:13:58,I have an odd fetish. I like to stuff #ballots up my ass &amp; then have politicians attempt to pull out their parties… https://t.co/XlLd5NN67i
2018-11-09 18:09:08,"I know the last thing 
the Republicans are saying is an election is being stolen 
#Gillum 
#MidtermElection2018"
2018-11-09 17:47:20,Hey I just found a box of ballots from Ohio from 2008. Turns out @MittRomney won the State. This is what Is happeni… https://t.co/Df6ugF28qS
2018-11-09 17:41:04,@NBCNews Explain to #US how counting every vote in #MidtermElection2018 is a “disgrace”. @potus has no respect what… https://t.co/qTahpRlzWB
2018-11-09 17:34:12,The bias @HoustonChron decides to retract 8 stories that probably influenced voters two days after the #MidtermElection2018 How convenient.
2018-11-09 17:27:00,@Amy_Siskind Without a doubt! Other states should be checked too. This vote flipping was happening in Texas! Ted Cr… https://t.co/VVmcJSXyPL
2018-11-09 17:22:08,".@cavuto #Florida #Arizona why weren't these ""issues"" addressed BEFORE #MidtermElection2018 ????  I smell a DemocRAT"
2018-11-09 17:08:45,"It’s not an argument to say that the democrats lost the midterms, because well... they won. But in historical terms… https://t.co/PS9OOM5IMW"
2018-11-09 16:56:36,"If Sinema and Nelson win their respective races it blows the GOP narrative that they're spinning they had a ""great""… https://t.co/hRDDIp7kPj"
2018-11-09 16:27:51,"If you believe that all the votes shouldn’t be counted (including absentee ballots from our veterans, diplomats, se… https://t.co/AYfvX1MDLu"
2018-11-09 16:25:00,FACT: Counting all the ballots isn’t changing the result of election… That is the result of the election! #MidtermElection2018
2018-11-09 16:14:48,"@realDonaldTrump @BrianKempGA Count. Every. Vote.
#MidtermElection2018 
#Georgia 
#Florida 
#Arizona"
2018-11-09 16:13:18,"FACT: Absentee ballots Include the votes of our veterans, seniors, citizens abroad, and our diplomats. And these ci… https://t.co/hK8JxgBGXI"
2018-11-09 16:09:57,FACT: Final results aren’t dictated by the EP or any other sources. The final results are dictated by the voters. I… https://t.co/hkZPSPwaJ3
2018-11-09 16:07:36,#MidtermElection2018 In County of San Bernardino CA the #SheriffDept picks up paper ballots and they are air lifted… https://t.co/i3nMyx1XFx
2018-11-09 15:53:21,@Ocasio2018 Maybe get a job waiting tables until January? Just a thought? #FridayMotivation #MidtermElection2018
2018-11-09 15:51:47,I hate vote tampering and voter suppression. Over half the country doesn’t even vote. So why are the ones who do vo… https://t.co/3FgqgVTkIy
2018-11-09 15:32:32,@PeterAlexander He’s talking about how #BrianKemp of #Georgia and #RickScott of #Florida rigged the respective… https://t.co/Byb2yljwN0
2018-11-09 14:34:36,"Trump: “I want to build a wall.”
Maxine Waters: “You got wall money?” 

#Midterms2018 #AuntieMaxine #MidtermElection2018 #HouseDemocrats"
2018-11-09 14:29:35,I don’t really know why this needs to be said but counting votes after Election Day is not ‘changing’ the vote coun… https://t.co/y3Mqn3pNKF
2018-11-09 13:55:26,Why aren’t elected officials and those seeking election held to account with libel and slander law suits?… https://t.co/qZMuKCI7lh
2018-11-09 13:50:31,"Should we be throwing stones about #democracy given our own ethics, particularly in the most recent… https://t.co/OAef6RDp9b"
2018-11-09 13:48:49,Why is it that ballots found after elections always voting for Democrats?  #BrowardElectionFraud… https://t.co/3r7qSuaYrb
2018-11-09 09:24:56,When you think all the noise of voting is going to stop after all the sticker selfies. But apparently all of Americ… https://t.co/n0UMQ5xDc5
2018-11-09 06:51:27,"Complain complain complain! Do these politicians ever get anything done, or do they just spend tax dollars on inves… https://t.co/4AiaRz6XGp"
2018-11-09 06:45:40,Rick Scott is such a worm. You lost. Give it up you whacko freak! #MidtermElection2018 #RickScott #rino #Impeach45 #2020BeBlue #saveusjesus
2018-11-09 06:38:49,I’m sorry but for as long as I can remember it’s taken years for results in Florida to come in. The faux surprise b… https://t.co/8La5U2suKP
2018-11-09 06:29:47,If I decide to run for office I’m doing it as a democrat.  My skeletons won’t matter unless I run as a republican.… https://t.co/Gc1WxQjlNY
2018-11-09 06:25:49,@FinancialReview @roweafr So much to like in this cartoon. Sessions being shot out of the cannon made me 🤣. Love yo… https://t.co/Xx604ODJwy
2018-11-09 06:14:24,"In some of the states where midterm election results are being contested, it looks like the GOP is going to use the… https://t.co/SYGiyx1u1h"
2018-11-09 05:53:34,"How come the @GOP never says “Slow your roll, lets count ALL the votes and make sure America has truly spoken”?   I… https://t.co/7WqrpJPT5g"
2018-11-09 05:42:00,Bucks are looking $$$$. I wish we could have seen the Warriors at full strength though. #FearTheDeer #MKE #MidtermElection2018
2018-11-09 05:09:06,"Congratulations to @Ocasio2018 for her win! Way to go #Democrats

Keep pushing, keep fighting!

Down with #Trump sc… https://t.co/pU63CevM1N"
2018-11-09 05:01:51,It’s clear there needs to be a runoff in each of the races in Florida and the race in Georgia. We the people need r… https://t.co/svtp5EDTGz
2018-11-09 04:57:27,"To any of the pundits or talking heads that do not give us proper credit for this great Midterm Election, just reme… https://t.co/zxfeLfJiLa"
2018-11-09 04:54:09,"Do you trust the integrity of election result “recounts”?

#Midterms2018 #MidtermElection2018 #Recounts… https://t.co/LLdEKoepKA"
2018-11-09 04:46:20,@Lassiter2011 @realDonaldTrump @nowthisnews I think this idiot Donald hs no idea what’s going to come next. A… https://t.co/KL79KIfdXY
2018-11-09 04:25:04,@Lavaman33YT @wyatt_0_j @CW_TheFlash Because of the #MidtermElection2018 :)
2018-11-09 04:23:33,#healthcare is one of the top issues with Americans as evidenced in recent #MidtermElection2018. @MSNBC and/or @cnn… https://t.co/jAWND0IIWL
2018-11-09 04:12:28,@PhilipRucker It was only a clear and present danger to the mid term elections. Now back to our regularly scheduled… https://t.co/nZgLKwRlam
2018-11-09 04:04:11,"What have our anti war supporters gone?
#TheResistance #MuellerInvestigation 
#MidtermElection2018 
#TuckerCarlsonAttack 
#Yemen #Syria"
2018-11-09 04:02:54,"Ok, this f-ing #MidtermElection2018 week has taken its toll on my mental faculties... I can't follow tweets today a… https://t.co/IjdGkSzFpD"
2018-11-09 03:52:35,"@RepGarretGraves Congrats to #GarrettGraves in the #MidtermElection2018! Time now to roll up our sleeves, win back the House &amp; #MAGA!"
2018-11-09 03:52:26,What’s a #Democrat in 2018?  Someone who wants to watch the world burn. #MidtermElection2018 #antifa #IllegalImmigration
2018-11-09 03:36:03,"@Just_a_Texan Why is this being tolerated?  End this now ... McSally, DeSantis, Scott Won    #VoterFraud #MidtermElection2018"
2018-11-09 03:33:19,It’s amazing...just 2 days after the #MidtermElection2018 and ALL of a sudden there’s no mention of the #Caravan hmmmm...wonder why
2018-11-09 03:09:38,"what happen to the #CaravanInvasion ???

oh yeah no longer an issue since  #MidtermElection2018 is over"
2018-11-09 03:08:48,"Have to hand it to the coward-in-chief, his little shenanigans have thrown a bit of a wet paper towel on the midter… https://t.co/mSKWyxfw15"
2018-11-09 03:01:19,"Hey Mr. @AndrewGillum you might wanna Un Concede now, wink wink, Nudge Nudge, say no more! #GillumForGovernor #MidtermElection2018 #FlaGov"
2018-11-09 03:00:52,"#ivoted not because I'm Egyptian 😁
My midterms are college tests 

#MidtermElection2018"
2018-11-09 02:47:12,Another #MassShooting just days after the #MidtermElection2018 . #BorderLineShooting is just another example of why… https://t.co/6CK2ri4KZO
2018-11-09 02:46:27,These Florida Election recounts are embarrassing and pathetic and this is the Democrats trying to overturn the elec… https://t.co/vYxHgtoKjI
2018-11-09 02:28:23,@MarthaMcSally you guys shouldn’t pussyfoot around and passively wait for things to happen. Get some bare knuckle c… https://t.co/tYjpT5XPMP
2018-11-09 02:22:04,Forcing myself to stay off my regular feed and just read @TGIT tweets because #MidtermElection2018 shams are not go… https://t.co/Y8nGzC1dWs
2018-11-09 02:19:44,Only 36.1 million people watched the #MidtermElection2018 on networks 👀 Kim K has more IG followers than that...
2018-11-09 02:00:35,"Florida and Arizona election officials are definitely up to no good obviously we need Federal oversight on these ""f… https://t.co/KiXXBzYsUm"
2018-11-09 01:55:18,Isn't it funny how Republicans aren't bitchin &amp; refuting #MidtermElection2018 results? Meanwhile in #demoBrat Land… https://t.co/2yYzFQiiWL
2018-11-09 01:40:44,I think it's utter BS that MY voter absentee information is allowed to be published in the @georgiagov. That is rid… https://t.co/iEt1kCE2dj
2018-11-09 01:37:08,Am I the only one who finds it highly suspicious that votes in #Arizona and in #FLORIDA keep showing up two days af… https://t.co/syDbc4Y8GR
2018-11-09 01:36:18,Don't miss tonight's @BreitbartNews Tonight! Joining the show @AWRHawkins covering the latest news on… https://t.co/tEyIgMXEr1
2018-11-09 01:35:50,@PressSec It must suck to be #republicans after that disastrous showing in #MidtermElection2018
2018-11-09 01:32:57,@marcorubio Don't let Russia tamper with our elections to affect the outcome. Only Democratic counters of late vote… https://t.co/zsCinEsPKM
2018-11-09 01:29:19,"The first thought I had after I heard RBG was in the hospital with broken ribs was, Trump pushed her. Literally, th… https://t.co/YhdMkIqWIf"
2018-11-09 01:14:32,"The election isn’t over, Arizona senate race now has democrat @kyrstensinema ahead by 2000 votes of @MarthaMcSally… https://t.co/13Y2aWven5"
2018-11-09 00:57:58,I see Florida still hasn’t learned how to election. #MidtermElection2018
2018-11-09 00:50:16,"So #Democrats are trying to steal elections in AZ, FL and GA. What do the pundits who were so angry with Trump for… https://t.co/ZIrE8f2ODQ"
2018-11-09 00:39:46,A convicted felon behind bars and a dead pimp were elected to office during the midterms. That wraps up the 2018 ti… https://t.co/BXbc1y5cxE
2018-11-09 00:24:43,"Lets go, @kyrstensinema in Arizona!!! #MidtermElection2018"
2018-11-09 00:01:46,It's been 2 days since the #MidtermElection2018 and #michigan still sucks! #OaklandCounty is gonna be the new #WayneCounty
2018-11-08 23:51:36,Political parties stand for their political agendas not for the nation. It’s a sad and disheartening truth yet we c… https://t.co/RnAnNeJldD
2018-11-08 23:47:46,The bullshit going on in Florida and Georgia is exactly why a lot of folks think voting is bullshit! Ridiculous! #MidtermElection2018
2018-11-08 23:10:03,"Florida heading for recounts. 
Be prepared for chads in all their diverse forms...#midterms, #MidtermElection2018 #vote #FloridaElection"
2018-11-08 23:08:19,@EricHolder @DemRedistrict Don't you find it strange that before the fake bombs went out house majority polled high… https://t.co/AqaTu0IJPf
2018-11-08 23:07:55,"PSA:
Fox News has stopped covering the caravan! I guess it was only serious before people voted!

#MidtermElection2018"
2018-11-08 22:57:11,"Well can we just have all the votes recounted, plz? #MidtermElection2018"
2018-11-08 22:52:29,I was sorry to see @JohnJamesMI came up short in his senate race. I was proud to campaign with this brave young vet… https://t.co/Ylc2tipqW6
2018-11-08 22:51:01,"#StaceyAbrams really is showing us the way. Don’t concede for shit until all votes are counted,especially when vote… https://t.co/UJ3UvV6x59"
2018-11-08 22:48:17,"In conclusion, I want to say that us, as #Millennials, are genuinely trying and caring about politics. We still hav… https://t.co/nTySK5EO8e"
2018-11-08 22:47:16,Women won. #MidtermElection2018 👊👏👍
2018-11-08 22:07:24,@SteveKornacki In other words this a hot ass mess #FloridaRecount #MidtermElection2018
2018-11-08 21:40:41,"You’d think after a couple hundred years and 45 presidents, elections and voting would be simpler than it is. Long… https://t.co/KnIW0lTYpK"
2018-11-08 21:28:11,"@MollyJongFast Yeah it sux here but while the #Russians focus on Mn, WI, PA in 2016, in  #MidtermElection2018 Russi… https://t.co/D4yabYQQ7W"
2018-11-08 21:24:16,"Funny that mysterious county in Florida is in the news again, i wonder why 🤔🤬, these ppl r stupid!!… https://t.co/7c2VyjM4Ec"
2018-11-08 21:22:50,"If there's anything that I have learned from the left, its that Michigan Democrats are a bunch of racists.  #MidtermElection2018"
2018-11-08 21:20:48,"@NPR I ponder about her often, she was so brave! But, still in the end they used her testimony as ""A Prop"" Sen.Grah… https://t.co/ORSiRoesyH"
2018-11-08 21:13:48,"Evil won’t win.
#MidtermElection2018"
2018-11-08 21:10:11,Just verified that my mail in ballot was counted. Thankfully it was #MidtermElection2018 #BringItHomeFlorida
2018-11-08 21:04:04,"Not only this, but, isn't it a bit worrying that the democrats don't have a candidate for 2020 elections and he now… https://t.co/WLvTCVujst"
2018-11-08 21:02:35,"He now has support from the rest of the Republicans after proving the U.S population are still, after everything, w… https://t.co/vvb90VP79V"
2018-11-08 20:49:57,I believe we need an explanation as to why it will almost take 2 days to get votes in. #Arizona #florida… https://t.co/oItuuy1s1Q
2018-11-08 19:54:10,BREAKING NEWS: It currently looks like both the Florida’s Senate and Gubernatorial races will be going to a re-coun… https://t.co/ApI9QY9UGN
2018-11-08 19:53:58,BREAKING NEWS: It currently looks like both the Florida’s Senate and Gubernatorial races will be going to a re-coun… https://t.co/6gzOjSqk1I
2018-11-08 19:30:34,"“When truth doesn’t matter, #Democracy can’t work.” - @BarackObama. #MidtermElection2018 #postelection"
2018-11-08 19:20:00,"The problem the #democrats face is they have used and abused the black vote in America for decades, now black suppo… https://t.co/EQT1yZ7G8Q"
2018-11-08 19:15:43,Like #MidtermElection2018 results or not how about adding to Campaign Finance rules that 1% of PAC expenditures on… https://t.co/4GjhnDIRcQ
2018-11-08 19:13:01,The citizens of #California voted to improve housing for chickens but not for low-income human beings. 《Reposting f… https://t.co/cFHpKaTJbw
2018-11-08 19:01:29,Alexandria Ocasio-Cortez seems like the type of person that thinks she still has money in her bank account as long… https://t.co/HmPYQ4lGb3
2018-11-08 18:49:15,Note to @twitter: The #MidtermElection2018 is over. You can un-shadowban us now. #tcot
2018-11-08 18:48:58,"I like that our Congress will reflect more of what America really is, diverse #Diversity #MidtermElection2018"
2018-11-08 18:44:55,The midterm results are a rejection of Trump and his mandate - a  21% swing in voting patterns in an economy where… https://t.co/mfNXmD7Lua
2018-11-08 18:38:53,"#trump #Midterms2018 #Midterm2018 #MidtermElection2018 #MidtermElections2018 Oh, the irony! Looks like Trump's miso… https://t.co/0zrgghrbxZ"
2018-11-08 18:14:18,Imagine if all the post-election analyses were written by people who were on the ground doing the work organizing &amp;… https://t.co/B0UFWm22O7
2018-11-08 18:12:16,"Yesterday, the markets staged their biggest one-day advance post-midterm elections since 1982. 

$SPY #MidtermElection2018 #markets"
2018-11-08 18:05:29,"The victory by @lucymcbath feels a little sweeter in light of today's events.  Congratulations, ma'am.  #MidtermElection2018"
2018-11-08 17:54:15,"1st of all, I didn’t realize #StaceyAbrams hired Tina Fey’s sister to represent her legally. 2nd of all, did Stacey… https://t.co/Su1MwMr5Um"
2018-11-08 17:52:30,"San Juan County Commission in SE Utah, Bears Ears country, is now majority Navajo and majority democratic! The diff… https://t.co/B1DrsUPmp6"
2018-11-08 17:44:09,@VHBigSlickAAA1 @ExDemLatina @drinkslinga2 @flanagan_aj @TobyHusseyWA @marcorubio I don’t usually correct people’s… https://t.co/VMwsgchKnP
2018-11-08 17:35:33,Wonder how many elections people really didn't win after all the votes were actually counted? Don't concede until t… https://t.co/x9vgNHlfDR
2018-11-08 17:35:09,"I can't decide if our new Governor is the coach I always wanted or the Dad I always wanted. 
#mngov #Midterms2018… https://t.co/7ssTtGtq2d"
2018-11-08 16:35:49,"Overall I’m satisfied with this #MidtermElection2018 

☺️"
2018-11-08 16:35:23,Scott Walker @ScottWalker is an unashamed union basher who engaged in class war against the American working class… https://t.co/Hkw9iX54FH
2018-11-08 16:29:08,"Can anyone point me to a source to see how Howard County voted in the governor race?
#MidtermElection2018  #governor @BenJealous"
